Loci	ips
Ap4m1	7.10923
Apba1	5.29538
Apba2	5.07838
Apba2bp	5.53603
Apba3	2.78051
Apbb1ip	5.22611
Apbb3	6.36763
Apbh	3.31443
Apc2	4.89208
Apcdd1	5.53642
Apex2	6.79601
Apoa1	3.35713
Apoa4	4.18384
Apob	4.54322
Apob48r	5.45149
Apobec4	3.47738
Apoc2	3.80224
Apoc3	3.39351
Apoc4	5.47205
Apof	3.46484
Apoh	4.27006
Apon	5.26544
Aqp1	5.28999
Aqp11	5.03937
Aqp4	3.53774
Aqp6	4.60664
Aqp7	3.9402
Aqp8	5.28247
Aqp9	4.46027
Ar	4.41104
Areg	4.08046
Arf2	6.5493
Arg1	3.89377
Arhgap15	3.14906
Arhgap18	4.23238
Arhgap19	5.1157
Arhgap20	3.38248
Arhgap24	4.70822
Arhgap25	4.31229
Arhgap26	4.26107
Arhgap28	6.25653
Arhgap4	4.57732
Arhgap6	3.43499
Arhgap8	5.67102
Arhgef10	5.48945
Arhgef11	6.3857
Arhgef15	4.61979
Arhgef17	5.97939
Arhgef19	5.38177
Arhgef4	5.58913
Arhgef6	5.28817
Arhgef9	3.32175
Arid5a	5.88513
Arl10	4.67833
Armc1$Armc1	4.78559
Armc2	4.37506
Armc3	3.12779
Armc4	2.96219
Armc7	5.58997
Armc9	5.97333
Armcx6	5.57672
Arnt2	5.31326
Arntl2	5.4077
Arpm1	4.20804
Arpp21	3.02436
Arr3	4.78635
Arrb1	4.71146
Arrdc2	5.90427
Arrdc5	3.74869
Arsg	3.12079
Arsj	3.59825
Arsk	5.34932
Art1	5.54086
Art2a	2.768
Art2b	3.04932
Art3	2.95667
Art4	3.67917
Art5	5.02638
Artn	4.58925
Arts1	4.1185
Arv1	6.94454
Arvcf	5.98691
Asah2	4.12588
Asah3	4.26204
Asb1	5.981
Asb10	4.75272
Asb11	4.04415
Asb12	3.01174
Asb13	5.02653
Asb14	2.85438
Asb15	2.88458
Asb16	5.42357
Asb17	2.64962
Asb18	3.13897
Asb2	4.58758
Asb4	3.52767
Asb5	3.29296
Asb9	4.28804
Ascl1	3.09629
Ascl2	4.02755
Ascl3	4.856
Asgr1	3.41238
Asgr2	3.79265
Aspa	5.40412
Asphd1	5.58558
Aspn	2.90904
Asprv1	4.59882
Astl	4.4787
Astn1	3.09455
Astn2	3.26443
Asxl2	7.10983
